"No.","E-Document No.","Contract No.","Creation Date","Status","Select Type","Type code","Effective Date","Expire Date","Import Contract Date","Send Form Type","Filing No.","Over due flag","No. of Duplicated Contract","Referred E-Document No.","Referred Contract No.","Referred Creation Date","Duty Amount OS4","Contract Amount","Action Type","Stamp Duty Amount","Duplicated Stamp Duty Amount","Total Paid Amount","Estimated Surcharge Amount","Estimated Fine Amount","Actual Surcharge Amount","Actual Fine Amount","Total Amount","Payer TaxID","Contractparty Tax ID","Contractparty First Name","Contractparty Last Name","buildingName","roomNo","floorNo","villageName","buildingNumber","moo","soiName","junctionName","streetName","citySubDivisionName","Distinct","Province","Postcode","Country Id","Email","Product Code","Credit Type","Period Submit","Schedule Submit Date","Submit Date","User ID","Batch ID","Form Submit No.","SD Payment Code","Reference 1","Reference 2","Payment Due Date","Receipt No","Receipt Date"
"1","01000000000000Auto41_1020240101","","","Payment","E","10","","","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","4550190","4550191","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51674","P090003154826","","0105556078229","311166580127302","2024-01-31","",""
"2","1110000000000Auto41_11120240101","","","Payment","E","111","","","","ยื่นปกติ","0","0","0","","","","0.00","80000.00","3","5.00","0.00","5.00","0.00","0.00","","","5.00","4550192","4550193","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51675","P090003154827","","0105556078229","311166580330612","2024-01-31","",""
"3","01200000000000Auto41_1220240101","","","Payment","Non-E","12","","","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","3.00","0.00","3.00","0.00","0.00","","","3.00","4550194","4550195","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51677","P090003154828","","0105556078229","311166580530372","2024-01-31","",""
"4","01300000000000Auto41_1320240101","","","Payment","Non-E","13","","","","ยื่นปกติ","0","0","0","","","","0.00","1000000.00","","5.00","0.00","5.00","0.00","0.00","","","5.00","4550196","4550197","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51678","P090003154901","","0105556078229","311166583533382","2024-01-31","",""
"5","01400000000000Auto41_1420240101","","","Payment","E","14","","","","ยื่นปกติ","0","0","0","","","","0.00","50000.00","1","30.00","0.00","30.00","0.00","0.00","","","30.00","4550198","4550199","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51679","P090003154833","","0105556078229","311166580731612","2024-01-31","",""
"6","01500000000000Auto41_1520240101","","","Payment","Non-E","15","","","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","3.00","0.00","3.00","0.00","0.00","","","3.00","4550200","4550201","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51680","P090003154840","","0105556078229","311166581128542","2024-01-31","",""
"7","01600000000000Auto41_1620240101","","","Payment","E","16","","","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","","1.00","0.00","1.00","0.00","0.00","","","1.00","4550202","4550203","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51681","P090003154841","","0105556078229","311166581328302","2024-01-31","",""
"8","01700000000000Auto41_1720240101","","","Payment","E","17","","","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","10.00","0.00","10.00","0.00","0.00","","","10.00","4550204","4550205","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51682","P090003154842","","0105556078229","311166581529502","2024-01-31","",""
"9","01800000000000Auto41_1820240101","","","Payment","E","18","","","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","1","1.00","0.00","1.00","0.00","0.00","","","1.00","4550206","4550207","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51683","P090003154843","","0105556078229","311166581730662","2024-01-31","",""
"10","01900000000000Auto41_1920240101","","","Payment","E","19","","","","ยื่นปกติ","0","0","0","","","","0.00","100.00","","1.00","0.00","1.00","0.00","0.00","","","1.00","4550208","4550209","สม**","Au*****1_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2","2024-01-26","","","51684","P090003154844","","0105556078229","311166581931842","2024-01-31","",""
