"No.","E-Document No.","Contract No.","Creation Date","Status","Select Type","Type code","Effective Date","Expire Date","Import Contract Date","Send Form Type","Filing No.","Over due flag","No. of Duplicated Contract","Referred E-Document No.","Referred Contract No.","Referred Creation Date","Duty Amount OS4","Contract Amount","Action Type","Stamp Duty Amount","Duplicated Stamp Duty Amount","Total Paid Amount","Estimated Surcharge Amount","Estimated Fine Amount","Actual Surcharge Amount","Actual Fine Amount","Total Amount","Payer TaxID","Contractparty Tax ID","Contractparty First Name","Contractparty Last Name","buildingName","roomNo","floorNo","villageName","buildingNumber","moo","soiName","junctionName","streetName","citySubDivisionName","Distinct","Province","Postcode","Country Id","Email","Product Code","Credit Type","Period Submit","Schedule Submit Date","Submit Date","User ID","Batch ID","Form Submit No.","SD Payment Code","Reference 1","Reference 2","Payment Due Date","Receipt No","Receipt Date"
"1","01200000000000Auto45_1220240201","","","Submit Error","Non-E","12","","","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","3.00","0.00","3.00","0.00","0.00","","","3.00","4551644","4551645","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54095","P090003246376","","0105556078229","161186693433442","2024-02-16","",""
"2","01300000000000Auto45_1320240201","","","Submit Error","Non-E","13","","","","ยื่นปกติ","0","0","0","","","","0.00","1000000.00","","5.00","0.00","5.00","0.00","0.00","","","5.00","4551646","4551647","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54096","P090003246377","","0105556078229","161186693636042","2024-02-16","",""
"3","01400000000000Auto45_1420240201","","","Submit Error","E","14","","","","ยื่นปกติ","0","0","0","","","","0.00","50000.00","1","30.00","0.00","30.00","0.00","0.00","","","30.00","4551648","4551649","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54097","P090003246378","","0105556078229","161186693835862","2024-02-16","",""
"4","01500000000000Auto45_1520240201","","","Submit Error","Non-E","15","","","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","3.00","0.00","3.00","0.00","0.00","","","3.00","4551650","4551651","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54098","P090003246379","","0105556078229","161186694031612","2024-02-16","",""
"5","01600000000000Auto45_1620240201","","","Submit Error","E","16","","","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","","1.00","0.00","1.00","0.00","0.00","","","1.00","4551652","4551653","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54099","P090003246380","","0105556078229","161186694231372","2024-02-16","",""
"6","01700000000000Auto45_1720240201","","","Submit Error","E","17","","","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","10.00","0.00","10.00","0.00","0.00","","","10.00","4551654","4551655","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54100","P090003246381","","0105556078229","161186694432572","2024-02-16","",""
"7","01800000000000Auto45_1820240201","","","Submit Error","E","18","","","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","1","1.00","0.00","1.00","0.00","0.00","","","1.00","4551656","4551657","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54101","P090003246382","","0105556078229","161186694633732","2024-02-16","",""
"8","01900000000000Auto45_1920240201","","","Submit Error","E","19","","","","ยื่นปกติ","0","0","0","","","","0.00","100.00","","1.00","0.00","1.00","0.00","0.00","","","1.00","4551658","4551659","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54102","P090003246383","","0105556078229","161186694834912","2024-02-16","",""
"9","02000000000000Auto45_2020240201","","","Submit Error","E","20","","","","ยื่นปกติ","0","0","0","","","","0.00","10000.00","","1.00","0.00","1.00","0.00","0.00","","","1.00","4551660","4551661","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54103","P090003246384","","0105556078229","161186695030722","2024-02-16","",""
"10","02100000000000Auto45_2120240201","","","Payment","E","21","","","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","10.00","0.00","10.00","0.00","0.00","","","10.00","4551662","4551663","สม**","Au*****5_","888/77","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","1","2024-02-02","","","54104","P090003246392","","0105556078229","161186696433632","2024-02-16","",""
