"No.","E-Document No.","Contract No.","Creation Date","Status","Select Type","Type code","Effective Date","Expire Date","Receive Date","Send Form Type","Filing No.","Over due flag","No. of Duplicated Contract","Referred E-Document No.","Referred Contract No.","Referred Creation Date","Duty Amount OS4","Inst Amount","Action Type","Stamp Duty Amount","Duplicated Stamp Duty Amount","Total Paid Amount","Estimated Surcharge Amount","Estimated Fine Amount","Actual Surcharge Amount","Actual Fine Amount","Total Amount","Payer TaxID","Contractparty Tax ID","Contractparty First Name","Contractparty Last Name","buildingName","roomNo","floorNo","villageName","buildingNumber","moo","soiName","junctionName","streetName","citySubDivisionName","Distinct","Province","Postcode","Country Id","Email","Product Code","Credit Type","Schedule Submit Date","Submit Date","User ID","Batch ID","Form Submit No.","SD Payment Code","Reference 1","Reference 2","Payment Due Date","Receipt No","Receipt Date"
"1","0170000000kjk1zs6jasol620240701","kjk1zs6jasol6","2024-07-01","Submit Error","E","17","2023-08-22","2023-12-31","","ยื่นปกติ","0","0","0","","","","0.00","0.00","1","10.00","0.00","10.00","0.00","0.00","0.00","0.00","10.00","0105556078229","17*****82","สม**","Au*****8_","88**","99","9","หมู่บ้านรื่นรนย์","","","","","","ตำบลหนองใหญ่","อำเภอหนองใหญ่","จังหวัดนนทบุรี","10600","TH","","","new_entry","2024-07-06","2024-07-02","","29127","","","","","","",""
"2","005TC5_DEV_2606-Submitted-120240601","TC5_DEV_2606-Submitted-1","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","86000.00","","43.00","0.00","43.00","0.00","0.00","0.00","0.00","43.00","0105556078229","01*****73","ปั**","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491768","","0105556078229","111307178740182","2024-07-11","",""
"3","005TC5_DEV_2606-Submitted-1120240601","TC5_DEV_2606-Submitted-11","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","686000.00","","343.00","0.00","343.00","0.00","0.00","0.00","0.00","343.00","0105556078229","01*****73","ปั*****11","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491778","","0105556078229","111307178740182","2024-07-11","",""
"4","005TC5_DEV_2606-Submitted-1220240601","TC5_DEV_2606-Submitted-12","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","763200.00","","382.00","0.00","382.00","0.00","0.00","0.00","0.00","382.00","0105556078229","01*****73","ปั*****12","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491779","","0105556078229","111307178740182","2024-07-11","",""
"5","005TC5_DEV_2606-Submitted-1320240601","TC5_DEV_2606-Submitted-13","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","840400.00","","421.00","0.00","421.00","0.00","0.00","0.00","0.00","421.00","0105556078229","01*****73","ปั*****13","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491780","","0105556078229","111307178740182","2024-07-11","",""
"6","005TC5_DEV_2606-Submitted-1520240601","TC5_DEV_2606-Submitted-15","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","994800.00","","498.00","0.00","498.00","0.00","0.00","0.00","0.00","498.00","0105556078229","01*****73","ปั*****15","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491782","","0105556078229","111307178740182","2024-07-11","",""
"7","005TC5_DEV_2606-Submitted-1620240601","TC5_DEV_2606-Submitted-16","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","1072000.00","","536.00","0.00","536.00","0.00","0.00","0.00","0.00","536.00","0105556078229","01*****73","ปั*****16","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491783","","0105556078229","111307178740182","2024-07-11","",""
"8","005TC5_DEV_2606-Submitted-1720240601","TC5_DEV_2606-Submitted-17","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","1149200.00","","575.00","0.00","575.00","0.00","0.00","0.00","0.00","575.00","0105556078229","01*****73","ปั*****17","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491784","","0105556078229","111307178740182","2024-07-11","",""
"9","005TC5_DEV_2606-Submitted-1820240601","TC5_DEV_2606-Submitted-18","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","1226400.00","","614.00","0.00","614.00","0.00","0.00","0.00","0.00","614.00","0105556078229","01*****73","ปั*****18","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491785","","0105556078229","111307178740182","2024-07-11","",""
"10","005TC5_DEV_2606-Submitted-1920240601","TC5_DEV_2606-Submitted-19","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","1303600.00","","652.00","0.00","652.00","0.00","0.00","0.00","0.00","652.00","0105556078229","01*****73","ปั*****19","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491786","","0105556078229","111307178740182","2024-07-11","",""
"11","005TC5_DEV_2606-Submitted-220240601","TC5_DEV_2606-Submitted-2","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","8800.00","","5.00","0.00","5.00","0.00","0.00","0.00","0.00","5.00","0105556078229","01*****73","ปั**","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491769","","0105556078229","111307178740182","2024-07-11","",""
"12","005TC5_DEV_2606-Submitted-2020240601","TC5_DEV_2606-Submitted-20","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","1380800.00","","691.00","0.00","691.00","0.00","0.00","0.00","0.00","691.00","0105556078229","01*****73","ปั*****20","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491787","","0105556078229","111307178740182","2024-07-11","",""
"13","005TC5_DEV_2606-Submitted-2120240601","TC5_DEV_2606-Submitted-21","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","1458000.00","","729.00","0.00","729.00","0.00","0.00","0.00","0.00","729.00","0105556078229","01*****73","ปั*****21","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491788","","0105556078229","111307178740182","2024-07-11","",""
"14","005TC5_DEV_2606-Submitted-320240601","TC5_DEV_2606-Submitted-3","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","68400.00","","35.00","0.00","35.00","0.00","0.00","0.00","0.00","35.00","0105556078229","01*****73","ปั**","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491770","","0105556078229","111307178740182","2024-07-11","",""
"15","005TC5_DEV_2606-Submitted-420240601","TC5_DEV_2606-Submitted-4","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","145600.00","","73.00","0.00","73.00","0.00","0.00","0.00","0.00","73.00","0105556078229","01*****73","ปั**","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491771","","0105556078229","111307178740182","2024-07-11","",""
"16","005TC5_DEV_2606-Submitted-520240601","TC5_DEV_2606-Submitted-5","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","222800.00","","112.00","0.00","112.00","0.00","0.00","0.00","0.00","112.00","0105556078229","01*****73","ปั**","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491772","","0105556078229","111307178740182","2024-07-11","",""
"17","005TC5_DEV_2606-Submitted-620240601","TC5_DEV_2606-Submitted-6","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","300000.00","","150.00","0.00","150.00","0.00","0.00","0.00","0.00","150.00","0105556078229","01*****73","ปั**","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491773","","0105556078229","111307178740182","2024-07-11","",""
"18","005TC5_DEV_2606-Submitted-720240601","TC5_DEV_2606-Submitted-7","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","377200.00","","189.00","0.00","189.00","0.00","0.00","0.00","0.00","189.00","0105556078229","01*****73","ปั**","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491774","","0105556078229","111307178740182","2024-07-11","",""
"19","005TC5_DEV_2606-Submitted-820240601","TC5_DEV_2606-Submitted-8","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","454400.00","","228.00","0.00","228.00","0.00","0.00","0.00","0.00","228.00","0105556078229","01*****73","ปั**","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491775","","0105556078229","111307178740182","2024-07-11","",""
"20","005TC5_DEV_2606-Submitted-920240601","TC5_DEV_2606-Submitted-9","2024-06-26","Payment","E","5","","","","ยื่นปกติ","0","0","0","","","","0.00","531600.00","","266.00","0.00","266.00","0.00","0.00","0.00","0.00","266.00","0105556078229","01*****73","ปั**","","มิ*****ร์","","22,23","","94**","","","","พระราม4","วังใหม่","ปทุมวัน","กรุงเทพมหานคร","10330","TH","","","new_entry","2024-07-01","2024-06-26","","24903","P090003491776","","0105556078229","111307178740182","2024-07-11","",""
