"No.","E-Document No.","Contract No.","Creation Date","Status","Select Type","Type code","Effective Date","Expire Date","Receive Date","Send Form Type","Filing No.","Over due flag","No. of Duplicated Contract","Referred E-Document No.","Referred Contract No.","Referred Creation Date","Duty Amount OS4","Inst Amount","Action Type","Stamp Duty Amount","Duplicated Stamp Duty Amount","Total Paid Amount","Estimated Surcharge Amount","Estimated Fine Amount","Actual Surcharge Amount","Actual Fine Amount","Total Amount","Payer TaxID","Contractparty Tax ID","Contractparty First Name","Contractparty Last Name","buildingName","roomNo","floorNo","villageName","buildingNumber","moo","soiName","junctionName","streetName","citySubDivisionName","Distinct","Province","Postcode","Country Id","Email","Product Code","Credit Type","Schedule Submit Date","Submit Date","User ID","Batch ID","Form Submit No.","SD Payment Code","Reference 1","Reference 2","Payment Due Date","Receipt No","Receipt Date"
"1","005TC5_UAT_GDM for demo_2705-120240501","TC5_UAT_GDM for demo_2705-1","2024-05-10","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","2000.00","","1.00","0.00","1.00","4.00","500.00","0.00","0.00","1.00","0105556078229","40*****61","สา**","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478664","82296705271222047466","0105556078229","271286943746802","2024-05-27","67100299171","2024-05-27"
"2","005TC5_UAT_GDM for demo_2705-1020240501","TC5_UAT_GDM for demo_2705-10","2024-05-19","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","20000.00","","10.00","0.00","10.00","0.00","0.00","0.00","0.00","10.00","0105556078229","05*****36","สา*****10","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478672","82296705271220048477","0105556078229","271286943746802","2024-05-27","67100299179","2024-05-27"
"3","005TC5_UAT_GDM for demo_2705-1120240501","TC5_UAT_GDM for demo_2705-11","2024-05-20","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","22000.00","","11.00","0.00","11.00","0.00","0.00","0.00","0.00","11.00","0105556078229","40*****61","สา*****11","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478673","82296705271221048480","0105556078229","271286943746802","2024-05-27","67100299180","2024-05-27"
"4","005TC5_UAT_GDM for demo_2705-1220240501","TC5_UAT_GDM for demo_2705-12","2024-05-21","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","24000.00","","12.00","0.00","12.00","0.00","0.00","0.00","0.00","12.00","0105556078229","41*****37","สา*****12","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478674","82296705271222048483","0105556078229","271286943746802","2024-05-27","67100299181","2024-05-27"
"5","005TC5_UAT_GDM for demo_2705-1320240501","TC5_UAT_GDM for demo_2705-13","2024-05-22","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","26000.00","","13.00","0.00","13.00","0.00","0.00","0.00","0.00","13.00","0105556078229","07*****11","สา*****13","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478675","82296705271223048486","0105556078229","271286943746802","2024-05-27","67100299182","2024-05-27"
"6","005TC5_UAT_GDM for demo_2705-220240501","TC5_UAT_GDM for demo_2705-2","2024-05-11","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","4000.00","","2.00","0.00","2.00","4.00","500.00","0.00","0.00","2.00","0105556078229","41*****37","สา**","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478665","82296705271223047469","0105556078229","271286943746802","2024-05-27","67100299172","2024-05-27"
"7","005TC5_UAT_GDM for demo_2705-2020240501","TC5_UAT_GDM for demo_2705-20","2024-05-29","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","40000.00","","20.00","0.00","20.00","0.00","0.00","0.00","0.00","20.00","0105556078229","05*****36","สา*****20","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478676","82296705271224048489","0105556078229","271286943746802","2024-05-27","67100299183","2024-05-27"
"8","005TC5_UAT_GDM for demo_2705-2120240501","TC5_UAT_GDM for demo_2705-21","2024-05-30","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","42000.00","","21.00","0.00","21.00","0.00","0.00","0.00","0.00","21.00","0105556078229","40*****61","สา*****21","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478677","82296705271225048492","0105556078229","271286943746802","2024-05-27","67100299184","2024-05-27"
"9","005TC5_UAT_GDM for demo_2705-2220240601","TC5_UAT_GDM for demo_2705-22","2024-06-01","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","44000.00","","22.00","0.00","22.00","0.00","0.00","0.00","0.00","22.00","0105556078229","41*****37","สา*****22","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478678","82296705271226048495","0105556078229","271286943746802","2024-05-27","67100299185","2024-05-27"
"10","005TC5_UAT_GDM for demo_2705-2320240601","TC5_UAT_GDM for demo_2705-23","2024-06-02","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","46000.00","","23.00","0.00","23.00","0.00","0.00","0.00","0.00","23.00","0105556078229","07*****11","สา*****23","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478679","82296705271227048498","0105556078229","271286943746802","2024-05-27","67100299186","2024-05-27"
"11","005TC5_UAT_GDM for demo_2705-2420240601","TC5_UAT_GDM for demo_2705-24","2024-06-03","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","48000.00","","24.00","0.00","24.00","0.00","0.00","0.00","0.00","24.00","0105556078229","94*****65","สา*****24","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478680","82296705271228048501","0105556078229","271286943746802","2024-05-27","67100299187","2024-05-27"
"12","005TC5_UAT_GDM for demo_2705-2520240601","TC5_UAT_GDM for demo_2705-25","2024-06-04","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","50000.00","","25.00","0.00","25.00","0.00","0.00","0.00","0.00","25.00","0105556078229","05*****36","สา*****25","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478681","82296705271229048504","0105556078229","271286943746802","2024-05-27","67100299188","2024-05-27"
"13","005TC5_UAT_GDM for demo_2705-2620240601","TC5_UAT_GDM for demo_2705-26","2024-06-05","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","52000.00","","26.00","0.00","26.00","0.00","0.00","0.00","0.00","26.00","0105556078229","40*****61","สา*****26","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478682","82296705271220049494","0105556078229","271286943746802","2024-05-27","67100299189","2024-05-27"
"14","005TC5_UAT_GDM for demo_2705-320240501","TC5_UAT_GDM for demo_2705-3","2024-05-12","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","6000.00","","3.00","0.00","3.00","0.00","0.00","0.00","0.00","3.00","0105556078229","07*****11","สา**","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478666","82296705271224047472","0105556078229","271286943746802","2024-05-27","67100299173","2024-05-27"
"15","005TC5_UAT_GDM for demo_2705-3020240601","TC5_UAT_GDM for demo_2705-30","2024-06-09","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","60000.00","","30.00","0.00","30.00","0.00","0.00","0.00","0.00","30.00","0105556078229","05*****36","สา*****30","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478686","82296705271224049506","0105556078229","271286943746802","2024-05-27","67100299193","2024-05-27"
"16","005TC5_UAT_GDM for demo_2705-420240501","TC5_UAT_GDM for demo_2705-4","2024-05-13","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","8000.00","","4.00","0.00","4.00","0.00","0.00","0.00","0.00","4.00","0105556078229","94*****65","สา**","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478667","82296705271225047475","0105556078229","271286943746802","2024-05-27","67100299174","2024-05-27"
"17","005TC5_UAT_GDM for demo_2705-520240501","TC5_UAT_GDM for demo_2705-5","2024-05-14","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","10000.00","","5.00","0.00","5.00","0.00","0.00","0.00","0.00","5.00","0105556078229","05*****36","สา**","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478668","82296705271226047478","0105556078229","271286943746802","2024-05-27","67100299175","2024-05-27"
"18","005TC5_UAT_GDM for demo_2705-620240501","TC5_UAT_GDM for demo_2705-6","2024-05-15","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","12000.00","","6.00","0.00","6.00","0.00","0.00","0.00","0.00","6.00","0105556078229","40*****61","สา**","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478669","82296705271227047481","0105556078229","271286943746802","2024-05-27","67100299176","2024-05-27"
"19","005TC5_UAT_GDM for demo_2705-820240501","TC5_UAT_GDM for demo_2705-8","2024-05-17","Completed","E","5","2024-05-31","","","ยื่นปกติ","0","0","0","","","","0.00","16000.00","","8.00","0.00","8.00","0.00","0.00","0.00","0.00","8.00","0105556078229","07*****11","สา**","","","","","","","","","","","","เมือง","จันทบุรี","22000","TH","","","new_entry","2024-05-15","2024-05-27","","18119","P090003478670","82296705271228047484","0105556078229","271286943746802","2024-05-27","67100299177","2024-05-27"
