"No.","E-Document No.","Contract No.","Creation Date","Status","Select Type","Type code","Effective Date","Expire Date","Import Contract Date","Send Form Type","Filing No.","Over due flag","No. of Duplicated Contract","Referred E-Document No.","Referred Contract No.","Referred Creation Date","Duty Amount OS4","Contract Amount","Action Type","Stamp Duty Amount","Duplicated Stamp Duty Amount","Total Paid Amount","Estimated Surcharge Amount","Estimated Fine Amount","Actual Surcharge Amount","Actual Fine Amount","Total Amount","Payer TaxID","Contractparty Tax ID","Contractparty First Name","Contractparty Last Name","buildingName","roomNo","floorNo","villageName","buildingNumber","moo","soiName","junctionName","streetName","citySubDivisionName","Distinct","Province","Postcode","Country Id","Email","Product Code","Credit Type","Period Submit","Schedule Submit Date","Submit Date","User ID","Batch ID","Form Submit No.","SD Payment Code","Reference 1","Reference 2","Payment Due Date","Receipt No","Receipt Date"
"1","0040TC4_TS10-494_Hybrid20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS10-494_Hybrid","2023-04-21","15.00","17000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-26","","","17759","P090001923806","","0105556078229","101046287027752","2023-10-10","",""
"2","004TC4_TS13-4449_additional20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS13-4449_additional","2023-08-11","9.00","14000.00","","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-29","","","17824","P090001923809","","0105556078229","161046287433382","2023-10-16","",""
"3","004TC4_TS14-44949_additional20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS14-44949_additional","2023-08-11","5.00","9000.00","","4.00","0.00","4.00","0.00","0.00","","","4.00","1","-1","","","","","","","","","","","","","","","","","","","additional","2","2023-09-16","","","17850","P090001923811","","0105556078229","021046287834102","2023-10-02","",""
"4","004TC4_TS5-49499_increase20230901","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS5-49499_increase","2022-08-29","7.00","22500.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-27","","","17636","P090001918135","","0105556078229","111046253225712","2023-10-11","",""
"5","00400TC4_TS9-494_Hybrid20230900","","","Completed","Non-E","4","","","","ยื่นเพิ่มเติม","0","0","0","","TC4_TS9-494_Hybrid","2023-04-21","15.00","17000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-26","","","17746","P090001923805","","0105556078229","101046286831942","2023-10-10","",""
"6","003TC3_TS14-44949_additional20230901","","","Completed","E","3","","","","ยื่นเพิ่มเติม","1","0","0","003TC3_TS14-44949_additional20230901","TC3_TS14-44949_additional","2023-09-15","1.00","4500.00","2","1.00","0.00","1.00","0.00","0.00","","","1.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-29","","","17624","P090001918091","","0105556078229","161046243627882","2023-10-16","",""
"7","003TC3_TS5-49499_increase20230901","","","Completed","E","3","","","","ยื่นเพิ่มเติม","0","0","0","","TC3_TS5-49499_increase","2022-08-29","3.00","8500.00","1","3.00","0.00","3.00","0.00","0.00","","","3.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","4","2023-09-27","","","17620","P090001918087","","0105556078229","111046242829002","2023-10-11","",""
"8","003TC3_TS6-49499_additional2023090201","","","Completed","E","3","","","","ยื่นเพิ่มเติม","1","0","0","003TC3_TS6-49499_additional2023090201","TC3_TS6-49499_additional","2023-09-15","3.00","8500.00","1","3.00","0.00","3.00","0.00","0.00","","","3.00","1","-1","","","","","","","","","","","","","","","","","","","additional","4","2023-09-27","","","17622","P090001918088","","0105556078229","111046243024812","2023-10-11","",""
"9","006TC6_TS3-4999_increase20231001","","","Completed","E","6","","","","ยื่นเพิ่มเติม","0","0","0","","TC6_TS3-4999_increase","2023-08-15","0.00","12500.00","3","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","increase_limit","2","2023-10-14","","","24689","P090001944680","","0105556078229","301066285130372","2023-10-30","",""
"10","0100000000TC10-6463327520231001","","","Completed","E","10","","","","ยื่นปกติ","0","0","0","","","","0.00","1000.00","","2.00","0.00","2.00","0.00","0.00","","","2.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","1","2023-10-07","","","21546","P090001943058","","0105556078229","241066227328492","2023-10-24","",""
"11","111000000TC111-6463327520231001","","","Completed","E","111","","","","ยื่นปกติ","0","0","0","","","","0.00","80000.00","3","5.00","0.00","5.00","0.00","0.00","","","5.00","1","-1","","","","","","","","","","","","","","","","","","","new_entry","1","2023-10-07","","","21547","P090001943059","","0105556078229","241066227531802","2023-10-24","",""
